verb,prep,freqNoun,freqVerb,freqComb
СТАРАТЬСЯ,НА,108857,54205,24
ХОТЕТЬ,ПОСЛЕ,108857,569716,23
ДУМАТЬ,О,108857,575903,23
РАЗБИТЬ,НА,108857,202768,23
УСЛЫШАТЬ,НА,108857,657759,23
РАЗГОВАРИВАТЬ,ВО ВРЕМЯ,108857,170847,23
ЗАБЫВАТЬ,ПРО,108857,108962,23
СОБИРАТЬСЯ,НА,108857,249938,23
ВЫЯСНИТЬСЯ,НА,108857,41889,23
ПРИЕЗЖАТЬ,НА,108857,157449,23
ВЕРНУТЬСЯ,НА,108857,1351676,23
БРАТЬСЯ,ЗА,108857,79250,23
ОСТАВАТЬСЯ,НА,108857,851043,23
ПОЛУЧАТЬ,ЗА,108857,883886,23
ОТДЕЛАТЬСЯ,ОТ,108857,28301,23
ШАЛИТЬ,НА,108857,2588,22
ИСПОЛЬЗОВАТЬ,ДЛЯ,108857,1431705,22
ХОДИТЬ,ПО,108857,681808,22
ЦАРИТЬ,НА,108857,195677,22
СТОЯТЬ,НА,108857,1895692,22
ВЫГОНЯТЬ,С,108857,9592,22
ОСНОВАТЬ,НА,108857,407746,22
НАПИСАТЬ,НА,108857,995391,22
УСЕСТЬСЯ,ЗА,108857,162688,22
ВЕРНУТЬСЯ,ПОСЛЕ,108857,1351676,22
ПРОИЗОЙТИ,НА,108857,759327,22
ПРИЙТИ,ПОСЛЕ,108857,550519,22
ВСПОМИНАТЬ,ОБ,108857,245184,21
УХОДИТЬ,НА,108857,342887,21
ЗАХОДИТЬ,ПОСЛЕ,108857,177979,21
БЕЖАТЬ,ПОСЛЕ,108857,320230,21
ЗАСИЖИВАТЬСЯ,ЗА,108857,5636,21
БЕЖАТЬ,НА,108857,320230,20
МОЛЧАТЬ,НА,108857,90696,20
ЖЕВАТЬ,НА,108857,35269,20
ПРИНЕСТИ,НА,108857,560886,20
ПРИМЕНЯТЬ,НА,108857,152803,20
РЕШАТЬ,НА,108857,140993,20
РАССКАЗАТЬ,В,108857,905982,20
ОТНЕСТИСЬ,К,108857,67550,20
ПРОВЕСТИ,НА,108857,1720693,20
УСПЕВАТЬ,НА,108857,17339,20
ЛЮБИТЬ,НА,108857,950738,20
РАЗУЧИВАТЬ,НА,108857,3639,20
ПИСАТЬ,ОБ,108857,941379,20
ЕСТЬ,НА,108857,149850,20
ПРИХОДИТЬ,С,108857,593265,20
ПОМНИТЬ,С,108857,224087,20
ИЗУЧИТЬ,НА,108857,132969,20
НАЧАТЬ,С,108857,573876,19
УХОДИТЬ,ПОСЛЕ,108857,342887,19
ОТПУСКАТЬ,С,108857,57296,19
ВСТРЕЧАТЬСЯ,НА,108857,327325,19
ЗАНЯТЬ,ПОСЛЕ,108857,593852,19
БЫТЬ,ВМЕСТО,108857,16504392,19
ОСТАТЬСЯ,ДО,108857,1167779,19
ЗАНИМАТЬСЯ,ВО ВРЕМЯ,108857,986447,19
ЛОВИТЬ,НА,108857,115864,18
ПРОИСХОДИТЬ,НА,108857,596752,18
ИГРАТЬ,ПОСЛЕ,108857,918112,18
УВИДЕТЬСЯ,ПОСЛЕ,108857,25275,18
ОТВЛЕЧЬСЯ,ОТ,108857,35303,18
ЧИТАТЬ,ВО ВРЕМЯ,108857,552091,18
