verb,prep,freqNoun,freqVerb,freqComb
ИЗУМИТЬСЯ,В,210663,8065,187
ПОДУМАТЬ,В,210663,765714,183
ТОЛКАТЬСЯ,В,210663,8450,180
ВЫХОДИТЬ,ПО,210663,543652,179
НАХОДИТЬСЯ,В,210663,2661082,175
СТАТЬ,В,210663,686138,175
ПРИСОЕДИНИТЬСЯ,К,210663,140436,171
ВОЗМУТИТЬСЯ,В,210663,38086,170
УЛЫБНУТЬСЯ,В,210663,462508,170
СТРЕЛЯТЬ,ПО,210663,114486,164
ИГРАТЬ,ПО,210663,918112,161
СНЯТЬ,С,210663,861454,159
ПРИСТРОИТЬСЯ,В,210663,18863,155
ГОВОРИТЬ,В,210663,2673665,152
ЗАМЕТИТЬ,В,210663,1190242,152
ПРОВЕСТИ,В,210663,1720693,150
ЗАХОДИТЬ,ПО,210663,177979,149
ПОПАСТЬ,В,210663,980276,144
СМОТРЕТЬ,ПО,210663,1826817,143
ТОМИТЬСЯ,В,210663,23040,140
УСМЕХНУТЬСЯ,В,210663,281553,138
ПРОЙТИ,БЕЗ,210663,1295429,137
СПРАШИВАТЬ,В,210663,156680,136
РЕШИТЬ,ПО,210663,472473,136
ПРОЛЕЗТЬ,БЕЗ,210663,15212,128
ПОЛЬЗОВАТЬСЯ,ПО,210663,487486,128
ВОСКЛИКНУТЬ,В,210663,199009,125
ГОТОВИТЬ,ПО,210663,291402,124
ПОСМОТРЕТЬ,НА,210663,1352306,122
ВЫСТАИВАТЬ,В,210663,1709,119
ВОЗРАЗИТЬ,В,210663,275007,118
СТАВИТЬ,НА,210663,440697,118
КОНЧАТЬ,ПО,210663,31736,115
ДЕЛИТЬСЯ,В,210663,122269,115
ВЫСТОЯТЬ,В,210663,9454,115
ОЖИДАТЬ,В,210663,340622,114
НАЧИНАТЬ,ПО,210663,227086,114
ПРОВОДИТЬ,В,210663,1208004,111
ПРОПУСТИТЬ,БЕЗ,210663,160681,110
ОБРАТИТЬСЯ,В,210663,707150,110
ПРОПУСКАТЬ,БЕЗ,210663,71248,109
ОСВЕДОМИТЬСЯ,В,210663,38822,109
ДОБАВИТЬ,В,210663,974156,108
ПРИЙТИСЬ,ПО,210663,125031,108
ВЛЕЗТЬ,БЕЗ,210663,54756,107
ВИДЕТЬ,В,210663,1971171,106
БРАТЬ,ПО,210663,449883,106
БЫТЬ,НЕ В,210663,16504392,105
ВЫСТУПАТЬ,ПО,210663,463690,105
ЗАНЯТЬСЯ,В,210663,335889,105
ДАВИТЬСЯ,В,210663,8446,104
ТОЛПИТЬСЯ,В,210663,43133,103
ЗАКРИЧАТЬ,В,210663,96458,103
ОБСЛУЖИВАТЬСЯ,ВНЕ,210663,5368,102
ОТВЕТИТЬ,В,210663,2124020,102
РАССКАЗЫВАТЬ,ПО,210663,486665,101
ЗАЯВИТЬ,В,210663,1836802,98
ПРИДТИСЬ,ПО,210663,48702,97
ОТДЫХАТЬ,ПО,210663,66905,97
ПОДОЙТИ,ПО,210663,1011760,96
ОТВЕЧАТЬ,ПО,210663,609071,95
ОГЛЯДЕТЬ,ПО,210663,108133,95
УЗНАТЬ,В,210663,696691,93
ВЫЗЫВАТЬ,ПО,210663,574948,93
ПРОХОДИТЬ,БЕЗ,210663,938511,92
ДЕЛАТЬ,ПО,210663,1265891,92
ПОДОЙТИ,К,210663,1011760,92
